"time","ID","lamygdala","ramygdala","lFFA","rFFA","lSTS","rSTS","lMMPFC","rMMPFC"
1,"060",-1.611605,-1.2232529,-0.6515587,-1.0509253,0.2165478,-1.1483821,1.2170391,-0.6540121
1,"062",NA,NA,NA,NA,NA,NA,NA,NA
1,"063",-0.55990624,-0.43333638,-0.51689273,-0.9916746,-0.64157695,0.2514597,-0.82032204,-0.5729273
1,"064",0.39632317,-0.54131776,-0.124608494,-1.5802414,0.23504701,-0.46270433,0.305721,-0.02524187
1,"065",-1.301132,-1.3456016,-1.5892184,-1.5428727,1.2787199,0.05917745,0.9417453,1.1645148
1,"066",0.36447746,-0.10803371,1.0238183,-0.7854856,0.23132439,-0.123856165,1.9404647,-1.0541188
1,"067",-0.17428248,-0.24598981,-0.5988366,-1.3600512,1.6684885,-0.24010587,1.8608787,0.37724823
1,"068",-1.3569999,-0.60750884,-0.57337105,-1.3986061,0.02335689,-0.37127513,-0.6533229,-0.6706052
1,"069",0.1210944,0.4408909,-0.15966663,-0.11609648,0.3524414,0.3051289,1.3543085,0.81970084
1,"070",NA,NA,NA,NA,NA,NA,NA,NA
1,"071",-0.71109843,-0.80764043,-0.46865353,0.42809635,-0.42802125,0.58573574,-1.3926643,-1.5269257
1,"072",-0.6636203,-0.95594656,0.84720975,-0.19315037,-0.13501717,-0.4326291,-0.44449392,-0.010669407
1,"073",0.07604572,0.2738316,-0.4864223,-0.81206274,-0.8514042,0.83604413,0.42020768,1.409726
1,"074",1.1173034,0.42948082,0.36620408,0.123175524,0.26345235,0.10209652,-0.747002,0.09361617
1,"075",-1.0309485,0.12901466,-1.4022754,0.39936882,-0.011356073,0.09765287,-0.48406917,0.23324421
1,"076",NA,NA,NA,NA,NA,NA,NA,NA
1,"077",-0.120680586,-1.101442,-1.0591131,-1.0083549,-0.009103668,-1.5225897,-2.0908034,-1.1240404
1,"079",1.5346273,1.0235689,-0.45787793,-0.5242674,-0.06398978,0.9710268,-0.32159412,1.3812708
