time,sub,run,FS-left-amygdala,FS-right-amygdala
32,pixar129,run-01,0.25939542,0.61423427
33,pixar129,run-01,0.749718,0.55244833
34,pixar129,run-01,0.21496263,-0.4648105
35,pixar129,run-01,-0.1659644,-0.14798301
36,pixar129,run-01,-0.8007545,-0.9602347
37,pixar129,run-01,-0.73991627,-0.3339845
38,pixar129,run-01,-0.35540757,-0.77004594
39,pixar129,run-01,-0.2237599,-0.41986963
40,pixar129,run-01,-0.42584434,-0.2432034
41,pixar129,run-01,-0.030169364,-0.576758
42,pixar129,run-01,-0.41871408,-0.25146437
43,pixar129,run-01,-0.2832661,-0.11739794
44,pixar129,run-01,-0.08892802,-0.88927335
45,pixar129,run-01,0.42355743,0.085258104
46,pixar129,run-01,0.69285935,-0.3619825
47,pixar129,run-01,0.47079757,0.0060192742
48,pixar129,run-01,-0.40045863,-0.2051764
49,pixar129,run-01,-0.17601058,-0.33541626
50,pixar129,run-01,-0.36598867,-0.17358574
51,pixar129,run-01,-0.51106155,0.111446634
52,pixar129,run-01,-0.69540393,0.21264867
53,pixar129,run-01,-0.514169,0.8258085
54,pixar129,run-01,-0.5846795,-0.10760604
55,pixar129,run-01,-0.1346185,-0.2959577
56,pixar129,run-01,0.2661052,0.23830706
57,pixar129,run-01,0.26950088,0.27028388
58,pixar129,run-01,0.010898741,-0.10758188
59,pixar129,run-01,0.11536225,0.4882403
60,pixar129,run-01,-0.4266739,0.26394174
61,pixar129,run-01,-0.35884616,-0.44399273
62,pixar129,run-01,-0.358136,0.30306444
63,pixar129,run-01,-0.32808164,-0.57130283
64,pixar129,run-01,-0.27718988,0.22755443
65,pixar129,run-01,-0.28781664,0.175078
66,pixar129,run-01,-0.28726056,0.3187463
67,pixar129,run-01,-0.3663015,-0.72542286
68,pixar129,run-01,0.019425254,-0.22715954
69,pixar129,run-01,-0.15894319,-0.06331799
70,pixar129,run-01,0.27219412,0.18890157
71,pixar129,run-01,0.2917813,-0.09544993
72,pixar129,run-01,0.09518803,-0.026764918
73,pixar129,run-01,-0.25942212,0.094742246
74,pixar129,run-01,-0.34179857,-0.061278902
75,pixar129,run-01,-0.20206812,0.2640499
76,pixar129,run-01,-0.025681363,0.3057972
77,pixar129,run-01,-0.14781474,-0.18530655
78,pixar129,run-01,-0.28263864,0.37216705
79,pixar129,run-01,-0.40683058,-0.5395705
80,pixar129,run-01,-0.8202286,-0.30801916
81,pixar129,run-01,-0.8474563,-0.37879372
82,pixar129,run-01,-0.090253115,0.002630038
83,pixar129,run-01,-0.111885175,0.292628
84,pixar129,run-01,-0.00090140564,0.34318116
85,pixar129,run-01,0.24743174,0.13926037
86,pixar129,run-01,0.13150193,0.09447009
87,pixar129,run-01,0.2841457,0.15677807
88,pixar129,run-01,0.20250838,0.040953062
89,pixar129,run-01,0.10256775,-0.087070905
90,pixar129,run-01,0.08153303,0.32038176
91,pixar129,run-01,-0.45981616,-0.16423261
92,pixar129,run-01,0.53226024,0.42395872
93,pixar129,run-01,0.49306142,0.5940941
94,pixar129,run-01,-0.010462889,0.5574192
95,pixar129,run-01,0.2646673,0.55351
96,pixar129,run-01,-0.31556493,0.19506177
97,pixar129,run-01,0.23166275,0.57772344
98,pixar129,run-01,0.050891407,0.96028954
99,pixar129,run-01,-0.2119706,0.5130307
100,pixar129,run-01,-0.0019699563,1.0527889
101,pixar129,run-01,-0.030726615,0.61334324
102,pixar129,run-01,-0.30492187,-0.6305451
103,pixar129,run-01,-0.36064178,-0.2042839
104,pixar129,run-01,-0.35535306,0.05114274
105,pixar129,run-01,-0.06905475,-0.25293043
106,pixar129,run-01,0.2494892,0.17554574
107,pixar129,run-01,0.07019973,0.20313029
108,pixar129,run-01,-0.008055119,-0.060991313
109,pixar129,run-01,0.32543775,-0.01629367
110,pixar129,run-01,-0.08280291,0.17662205
111,pixar129,run-01,-0.12730703,0.26578513
112,pixar129,run-01,-0.057341103,-0.16323121
113,pixar129,run-01,-0.057005268,0.067827746
114,pixar129,run-01,0.07620956,-0.2347889
115,pixar129,run-01,0.4143189,-0.08370999
116,pixar129,run-01,0.04489734,0.632719
117,pixar129,run-01,0.6007214,0.67652786
118,pixar129,run-01,0.96707505,0.3800973
119,pixar129,run-01,0.22070827,0.0833587
120,pixar129,run-01,0.5089272,0.22118779
121,pixar129,run-01,0.07127432,-0.71877414
122,pixar129,run-01,0.30098373,0.144101
123,pixar129,run-01,0.5137753,-0.22964972
124,pixar129,run-01,-0.11746272,-0.14411958
125,pixar129,run-01,-0.09520955,-0.1314207
126,pixar129,run-01,-0.1282337,-0.14540282
127,pixar129,run-01,-0.16543348,-0.51735574
128,pixar129,run-01,0.040335752,-0.12846607
129,pixar129,run-01,-0.13420193,-0.09556
130,pixar129,run-01,0.2582328,0.04789842
131,pixar129,run-01,0.15343463,0.31843102
132,pixar129,run-01,0.67074835,-0.010406597
133,pixar129,run-01,0.68153983,-0.09030368
134,pixar129,run-01,-0.007622815,-0.24378628
135,pixar129,run-01,-0.30283442,-0.50198776
136,pixar129,run-01,-0.06738417,-0.34608033
137,pixar129,run-01,-0.10194398,-0.34045896
138,pixar129,run-01,0.23517367,0.64800024
139,pixar129,run-01,0.37601334,0.043405727
140,pixar129,run-01,0.5176789,0.18357967
141,pixar129,run-01,-0.02648569,0.40256572
142,pixar129,run-01,0.12822379,0.32926294
143,pixar129,run-01,0.7694217,0.04097617
144,pixar129,run-01,0.8547951,0.14346835
145,pixar129,run-01,0.2942606,0.11071124
146,pixar129,run-01,0.08171813,-0.32431152
147,pixar129,run-01,0.0979577,-0.14705913
148,pixar129,run-01,0.20562284,0.1781831
149,pixar129,run-01,0.13502096,-0.95409554
150,pixar129,run-01,0.43727368,0.05169552
151,pixar129,run-01,0.47356468,0.2929482
152,pixar129,run-01,0.40704256,0.3836499
153,pixar129,run-01,0.62817454,0.7936623
154,pixar129,run-01,0.847259,0.57466435
155,pixar129,run-01,0.302237,-0.46757385
